Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Social Media Community Manager,Confidential,"Cairo, Egypt",4 hours ago,Full Time,Experienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising· Online Marketing· E-Marketing· social media management· Marketing· Social Media,
Inland Specialist,Transmar International,"New Cairo, Cairo, Egypt",4 hours ago,Full Time,Experienced · 1 - 2 Yrs of Exp · Logistics/Supply Chain· Trucking· Logistics,
Store Manager - Hurghada,Defacto,"Hurghada, Red Sea, Egypt",4 hours ago,Full Time,Manager · 4 - 5 Yrs of Exp · Operations/Management · Sales/Retail· Sales· Retail· Sales Target· Sales Skills· Administration· Operations· Management· English,
Business Development Officer,Cultiv,"Heliopolis, Cairo, Egypt",4 hours ago,Full Time,Experienced · 2 - 5 Yrs of Exp · Business Development · Sales/Retail· Business Development· Communication skills· sales skills· Sales Target· Sales· Communication· Development· Microsoft Office,
Technical Sales Engineer (Civil /Mechanical / Production),caliteck,"Nasr City, Cairo, Egypt",4 hours ago,Full Time,Entry Level · 1 - 2 Yrs of Exp · Engineering - Construction/Civil/Architecture · Sales/Retail · Engineering - Mechanical/Electrical· Production· Engineering· Mechanical· Sales· English· Sales Target· Customer Service,
Software Tester - Quality Assurance 05003,Confidential,"Cairo, Egypt",4 hours ago,Full Time,Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology· Information Technology (IT)· QA· Software Testing· Agile· Software· Software Development· Performance,
Real Estate Sales / Property Consultant (Brokerage ),IMIC for Real estate,"New Cairo, Cairo, Egypt",4 hours ago,Full Time,Experienced · 1 - 4 Yrs of Exp · Sales/Retail· Real Estate· Sales· Target· Communication skills· Real Estate Sales· Sales Target· Property Sales,
Marketing Manager,EYB  Engine Your Business,"New Capital, Cairo, Egypt",4 hours ago,Full Time - Work From Home,Manager · 1 - 5 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing· Communication skills· Communication· Skills· Sales· Market Research· Marketing· Social Media,
HR Manager,JK SteelWheels,"San Stefano, Alexandria, Egypt",4 hours ago,Full Time,Manager · 4 - 6 Yrs of Exp · Administration · Human Resources · Operations/Management· Human Resources (HR)· Recruitment· Personnel· HR· HR Systems· Human Resources,
Ward Manager - Doctor,Saudi German Hospital,"New Nozha, Cairo, Egypt",4 hours ago,Full Time,Manager · 2 - 4 Yrs of Exp · Medical/Healthcare· Medicine· Medical· Doctor· Surgery· Administration,
Direct Sales Agent-10th of Ramadan City,beIN Media Group,"10th of Ramadan City, Sharqia, Egypt",5 hours ago,Full Time,Entry Level · 1 - 2 Yrs of Exp · Sales/Retail· Sales· Retail· Sales Target· Sales Field· Sales Skills· English,
Accountant,Click ITS,"Smouha, Alexandria, Egypt",5 hours ago,Full Time,Experienced · 1 - 4 Yrs of Exp · Accounting/Finance· Accounting· Financial· Reporting,
Quran Teacher at Agyad,Manhattan Schools,"Maadi, Cairo, Egypt",5 hours ago,Full Time,Experienced · 2 - 4 Yrs of Exp · Education/Teaching· Quran· Teaching,
Customer Support Representative Non Voice (((Mail & Chat English Account))),Etisalat Egypt,"Maadi, Cairo, Egypt",5 hours ago,Full Time,Entry Level · 0 - 13 Yrs of Exp · Customer Service/Support· B2· Customer Care· Customer Service· Customer Support· English· Sales· Service,
Sales Executive (Banking Sector or insurance),Confidential,"Sheikh Zayed, Giza, Egypt",5 hours ago,Full Time,Experienced · 2 - 6 Yrs of Exp · Business Development · Customer Service/Support · Sales/Retail· Sales Skills· Sales· Sales Target· Communication· Insurance· Office· Marketing,
Assistant Manager,EYB  Engine Your Business,"Moscow, Russia",5 hours ago,Full Time,Entry Level · 1 - 2 Yrs of Exp · females_only · Project/Program Management· Assistant· Administration· assistant manager· Manager· Secretary· Office management,
Junior Presales Engineer,Target Integrated Systems,"Maadi, Cairo, Egypt",5 hours ago,Full Time,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology· Communication· Communication skills· Computer Science· Engineering· Information Technology (IT)· English· network,
